0.0 1.4 -75.1760511525  103.265590198  81.3505462738  -115.115854742  -87.2875516096  85.9970534076  
0.10000000149 1.39 -86.6015099103  104.414267941  67.9012704927  -111.203294289  -93.2522493839  77.0966097263  
0.20000000298 1.38 -103.045189784  101.488874169  56.2907994269  -122.190469699  -115.697626992  64.4739066967  
0.300000011921 1.36999999925 -98.5885576789  103.740319906  58.0064440767  -122.775436295  -125.782483431  49.3659013375  
0.40000000596 1.36 -82.0325511889  96.1230045878  56.9182637621  -112.34362824  -117.732848031  67.8726191207  
0.5 1.35000000075 -70.6666749149  103.699943346  66.1658431924  -121.409131061  -106.978581329  71.5251630943  
0.600000023842 1.33999999851 -92.9280068454  100.397778255  51.496399041  -135.980298888  -96.5880379006  78.0843128003  
0.699999988079 1.33000000224 -110.64373435  84.7290643478  43.8096914224  -128.734930759  -102.311818729  62.9143792369  
0.800000011921 1.32 -104.124328449  87.9318145901  60.2978619577  -125.874671704  -102.034256325  69.8635404237  
0.899999976158 1.31000000373 -104.880029904  85.974224504  62.9206023934  -119.719996366  -110.654415207  72.0257663282  
1.0 1.30000000149 -109.556712145  99.3681793268  68.9677499043  -115.685886722  -117.142427374  41.9827511475  
1.10000002384 1.28999999925 -114.636445332  85.5997352985  77.2528112684  -104.701573216  -123.064552455  46.962358069  
1.20000004768 1.27999999702 -127.586917612  79.1056136251  60.9866675665  -124.227521443  -126.519568818  56.7435296101  
1.29999995232 1.27000000671 -125.874669144  71.2446978504  58.9837838559  -112.239388211  -122.844465406  69.3796116021  
1.39999997616 1.26000000447 -113.172130138  88.8187516757  58.0023523453  -121.236228896  -115.037794656  60.0687374425  
1.5 1.25000000224 -120.812729483  83.2735492995  62.2635081177  -128.273371755  -128.587004231  61.0298464243  
1.60000002384 1.24 -124.716715775  89.0186629584  69.9676762214  -114.9763168  -134.275446817  52.7933827654  
1.70000004768 1.22999999776 -119.854897191  76.7142660756  77.9648568398  -120.995569127  -143.906924746  47.8172196897  
1.79999995232 1.22000000745 -103.605949926  82.2326958026  77.5972205444  -120.081297438  -134.518685285  45.1241309972  
1.89999997616 1.21000000522 -125.711992128  66.7010030281  40.1802995872  -140.920654617  -129.667027206  54.481363274  
2.0 1.20000000298 -114.244157334  62.438381233  48.4972836173  -126.283448199  -129.219978378  72.4177032666  
2.09999990463 1.19000001267 -120.887881305  68.7006448023  60.910451277  -115.429687231  -134.907719098  49.3249898957  
2.20000004768 1.17999999851 -132.003075948  74.1604492883  74.384017691  -109.938470593  -140.91014191  47.3147138114  
2.29999995232 1.1700000082 -129.716480271  61.6966588944  57.3712180415  -125.77874572  -146.115280227  57.2087485864  
2.40000009537 1.15999999404 -128.31778781  61.2799772277  62.545243158  -113.612374396  -141.302143195  36.8555836374  
2.5 1.15000000373 -146.395229664  66.7550519359  47.9789466655  -122.04145459  -140.63842429  45.486349374  
2.59999990463 1.14000001341 -143.595778072  70.5528727815  50.1326438165  -119.353003513  -130.467085385  53.6225429698  
2.70000004768 1.12999999925 -136.473412457  69.9643954263  59.0051875098  -120.192296486  -127.356268192  39.8001017414  
2.79999995232 1.12000000894 -147.292660282  68.2543360985  26.228268008  -147.610568686  -127.290808005  46.5217836448  
2.90000009537 1.10999999478 -136.861217493  60.2713482378  57.5695032539  -134.608076176  -134.712296292  38.700080049  
3.0 1.10000000447 -146.19461997  55.8070772217  35.4707599688  -148.788865488  -145.765887434  38.2580305335  
3.09999990463 1.09000001416 -144.110074967  80.3103942917  30.7411397991  -139.006227827  -141.575034384  42.5692604254  
3.20000004768 1.08 -161.882990656  69.2831970546  34.3947815869  -136.170928795  -144.53625879  38.2354864782  
3.29999995232 1.07000000969 -126.095484945  65.7584341778  52.3465949126  -126.90726602  -145.540510147  12.6400249331  
3.40000009537 1.05999999553 -157.647665914  42.0099859878  43.7013668797  -148.362709022  -136.89019467  61.6692861486  
3.5 1.05000000522 -154.050139012  46.5257692737  45.4228505951  -140.671546243  -144.27719889  37.7995640884  
3.59999990463 1.0400000149 -130.828377124  45.1003550576  41.2466896847  -142.457933746  -143.313908054  32.7020520956  
